Title	URL	Assignees	Status	Labels	Data Inizio	Target date	Priority
M1 - Setup e fondamenta			Ready	M1, milestone	Aug 5, 2026	Aug 11, 2026
M1 - T1 Creare il repository e il progetto Next.js		imadelmir	Ready	M1, setup	Aug 5, 2026	Aug 5, 2026	P0
M1 - T2 Configurare TypeScript in modalita strict e path alias		imadelmir	Backlog	M1, setup	Aug 5, 2026	Aug 5, 2026	P0
M1 - T3 Design token e fogli di stile (tokens, globals, typography)		imadelmir	Backlog	M1, setup	Aug 5, 2026	Aug 6, 2026	P0
M1 - T4 Font, root layout e theme provider		imadelmir	Backlog	M1, setup	Aug 6, 2026	Aug 7, 2026	P0
M1 - T5 Configurazione sito, navigazione e tipi di base		imadelmir	Backlog	M1, setup	Aug 7, 2026	Aug 7, 2026	P0
M1 - T6 Utility di libreria (cn, format)		imadelmir	Backlog	M1, setup	Aug 7, 2026	Aug 10, 2026	P0
M1 - T7 Strumenti di qualita (ESLint, Prettier, Husky, script)		imadelmir	Backlog	M1, setup	Aug 10, 2026	Aug 11, 2026	P0
M1 - T8 Scheletro cartelle, README e .env.example		imadelmir	Backlog	M1, setup	Aug 11, 2026	Aug 11, 2026	P0
M2 - Design system			Backlog	M2, milestone	Aug 11, 2026	Aug 18, 2026
M2 - T1 Componente Button con varianti		imadelmir	Backlog	M2, ui	Aug 11, 2026	Aug 12, 2026	P0
M2 - T2 Componenti Badge e Card		imadelmir	Backlog	M2, ui	Aug 12, 2026	Aug 13, 2026	P0
M2 - T3 Componenti Tabs e Input		imadelmir	Backlog	M2, ui	Aug 13, 2026	Aug 14, 2026	P0
M2 - T4 Barrel export dei componenti UI		imadelmir	Backlog	M2, ui	Aug 14, 2026	Aug 14, 2026	P0
M2 - T5 Componenti Section e SectionHeading		imadelmir	Backlog	M2, ui	Aug 14, 2026	Aug 14, 2026	P0
M2 - T6 Componente EmptyState		imadelmir	Backlog	M2, ui	Aug 14, 2026	Aug 17, 2026	P1
M2 - T7 Effetti Reveal e Stagger con reduced-motion		imadelmir	Backlog	M2, ui	Aug 17, 2026	Aug 17, 2026	P1
M2 - T8 Effetti GlowBorder e GridBackground		imadelmir	Backlog	M2, ui	Aug 17, 2026	Aug 18, 2026	P2
M2 - T9 Verifica visiva del design system sui mockup		imadelmir	Backlog	M2, ui	Aug 18, 2026	Aug 18, 2026	P0
M3 - Layout e navigazione			Backlog	M3, milestone	Aug 19, 2026	Aug 26, 2026
M3 - T1 Hook useMediaQuery e useMounted		imadelmir	Backlog	M3, layout	Aug 19, 2026	Aug 19, 2026	P0
M3 - T2 Hook useLockScroll e useActiveSection		imadelmir	Backlog	M3, layout	Aug 19, 2026	Aug 20, 2026	P0
M3 - T3 Navigazione desktop		imadelmir	Backlog	M3, layout	Aug 20, 2026	Aug 20, 2026	P0
M3 - T4 Drawer di navigazione mobile con focus trap		imadelmir	Backlog	M3, layout	Aug 20, 2026	Aug 21, 2026	P0
M3 - T5 Header con skip link e sfondo sticky		imadelmir	Backlog	M3, layout	Aug 21, 2026	Aug 24, 2026	P0
M3 - T6 Footer e dati social		imadelmir	Backlog	M3, layout	Aug 24, 2026	Aug 24, 2026	P0
M3 - T7 Barra di avanzamento dello scroll		imadelmir	Backlog	M3, layout	Aug 24, 2026	Aug 25, 2026	P2
M3 - T8 Theme provider e toggle tema		imadelmir	Backlog	M3, layout	Aug 25, 2026	Aug 25, 2026	P2
M3 - T9 Layout del route group (site)		imadelmir	Backlog	M3, layout	Aug 25, 2026	Aug 26, 2026	P0
M3 - T10 Pagine 404 e global error		imadelmir	Backlog	M3, layout	Aug 26, 2026	Aug 26, 2026	P1
M4 - Tipi, config e schema			Backlog	M4, milestone	Aug 26, 2026	Sep 2, 2026
M4 - T1 Categorie dei progetti tipizzate		imadelmir	Backlog	M4, content	Aug 26, 2026	Aug 27, 2026	P0
M4 - T2 Registro delle tecnologie (tech-stack)		imadelmir	Backlog	M4, content	Aug 27, 2026	Aug 28, 2026	P0
M4 - T3 Icone SVG delle tecnologie		imadelmir	Backlog	M4, content	Aug 28, 2026	Aug 28, 2026	P0
M4 - T4 Schema zod dei progetti (con campo architecture)		imadelmir	Backlog	M4, content	Aug 28, 2026	Aug 31, 2026	P0
M4 - T5 Tipi derivati dei progetti		imadelmir	Backlog	M4, content	Aug 31, 2026	Sep 1, 2026	P0
M4 - T6 Barrel export dei tipi		imadelmir	Backlog	M4, content	Sep 1, 2026	Sep 1, 2026	P0
M4 - T7 Componente TechIcon		imadelmir	Backlog	M4, content	Sep 1, 2026	Sep 1, 2026	P0
M4 - T8 Test unitari dello schema		imadelmir	Backlog	M4, content	Sep 1, 2026	Sep 2, 2026	P0
M5 - Content layer			Backlog	M5, milestone	Sep 2, 2026	Sep 8, 2026
M5 - T1 Pipeline di compilazione MDX		imadelmir	Backlog	M5, content	Sep 2, 2026	Sep 3, 2026	P0
M5 - T2 Funzioni di lettura dei progetti		imadelmir	Backlog	M5, content	Sep 3, 2026	Sep 4, 2026	P0
M5 - T3 Test del content layer		imadelmir	Backlog	M5, content	Sep 4, 2026	Sep 4, 2026	P0
M5 - T4 Case study Arcadium 2.0 (MDX)		imadelmir	Backlog	M5, content	Sep 4, 2026	Sep 7, 2026	P0
M5 - T5 Case study BeeWatch AI (MDX)		imadelmir	Backlog	M5, content	Sep 7, 2026	Sep 7, 2026	P0
M5 - T6 Immagini e diagrammi dei primi due progetti		imadelmir	Backlog	M5, content	Sep 7, 2026	Sep 8, 2026	P0
M5 - T7 Segnaposto dei progetti pianificati		imadelmir	Backlog	M5, content	Sep 8, 2026	Sep 8, 2026	P1
Milestone - SAL 1: content layer funzionante			Backlog	checkpoint	Sep 8, 2026	Sep 8, 2026	P0
M6 - Pagina Projects			Backlog	M6, milestone	Sep 8, 2026	Sep 17, 2026
M6 - T1 Componente ProjectCard		imadelmir	Backlog	M6, projects	Sep 8, 2026	Sep 9, 2026	P0
M6 - T2 Componente ProjectGrid		imadelmir	Backlog	M6, projects	Sep 9, 2026	Sep 9, 2026	P0
M6 - T3 Vista lista: ProjectRow e ProjectList		imadelmir	Backlog	M6, projects	Sep 9, 2026	Sep 10, 2026	P0
M6 - T4 Hook dei filtri sincronizzato con la URL		imadelmir	Backlog	M6, projects	Sep 10, 2026	Sep 11, 2026	P0
M6 - T5 Filtri per categoria		imadelmir	Backlog	M6, projects	Sep 11, 2026	Sep 14, 2026	P0
M6 - T6 Ordinamento progetti		imadelmir	Backlog	M6, projects	Sep 14, 2026	Sep 14, 2026	P0
M6 - T7 Toggle griglia/lista		imadelmir	Backlog	M6, projects	Sep 14, 2026	Sep 14, 2026	P0
M6 - T8 Pagina Projects completa		imadelmir	Backlog	M6, projects	Sep 14, 2026	Sep 15, 2026	P0
M6 - T9 Stati di loading ed error		imadelmir	Backlog	M6, projects	Sep 16, 2026	Sep 16, 2026	P1
M6 - T10 Rifinitura e verifica sui mockup		imadelmir	Backlog	M6, projects	Sep 16, 2026	Sep 17, 2026	P0
M7 - Case study progetto			Backlog	M7, milestone	Sep 17, 2026	Sep 28, 2026
M7 - T1 Route dinamica [slug] con generateStaticParams		imadelmir	Backlog	M7, case-study	Sep 17, 2026	Sep 18, 2026	P0
M7 - T2 Componente ProjectHero		imadelmir	Backlog	M7, case-study	Sep 18, 2026	Sep 18, 2026	P0
M7 - T3 Badge metriche flottanti		imadelmir	Backlog	M7, case-study	Sep 18, 2026	Sep 21, 2026	P0
M7 - T4 Sezione Overview con rendering MDX		imadelmir	Backlog	M7, case-study	Sep 21, 2026	Sep 22, 2026	P0
M7 - T5 Sezione Key Features		imadelmir	Backlog	M7, case-study	Sep 22, 2026	Sep 22, 2026	P0
M7 - T6 Sezione Architettura (diagramma, layer, decisioni)		imadelmir	Backlog	M7, case-study	Sep 22, 2026	Sep 23, 2026	P0
M7 - T7 Sezione stack tecnologico		imadelmir	Backlog	M7, case-study	Sep 23, 2026	Sep 24, 2026	P0
M7 - T8 Galleria screenshot con lightbox		imadelmir	Backlog	M7, case-study	Sep 24, 2026	Sep 25, 2026	P0
M7 - T9 Sezione What I Learned		imadelmir	Backlog	M7, case-study	Sep 25, 2026	Sep 25, 2026	P0
M7 - T10 Navigazione tra progetti (prev/next)		imadelmir	Backlog	M7, case-study	Sep 25, 2026	Sep 25, 2026	P0
M7 - T11 Loading e assemblaggio della pagina progetto		imadelmir	Backlog	M7, case-study	Sep 25, 2026	Sep 28, 2026	P0
M8 - Home			Backlog	M8, milestone	Sep 28, 2026	Oct 5, 2026
M8 - T1 Sezione Hero		imadelmir	Backlog	M8, home	Sep 28, 2026	Sep 29, 2026	P0
M8 - T2 Visual dell'hero (sfera e tile tecnologiche)		imadelmir	Backlog	M8, home	Sep 29, 2026	Sep 30, 2026	P1
M8 - T3 Sezione progetti in evidenza		imadelmir	Backlog	M8, home	Sep 30, 2026	Oct 1, 2026	P0
M8 - T4 Orbita delle tecnologie		imadelmir	Backlog	M8, home	Oct 1, 2026	Oct 2, 2026	P1
M8 - T5 Anteprima About e dati about		imadelmir	Backlog	M8, home	Oct 2, 2026	Oct 2, 2026	P0
M8 - T6 Banda statistiche		imadelmir	Backlog	M8, home	Oct 2, 2026	Oct 5, 2026	P1
M8 - T7 Assemblaggio della homepage		imadelmir	Backlog	M8, home	Oct 5, 2026	Oct 5, 2026	P0
Milestone - SAL 2: sito navigabile end-to-end			Backlog	checkpoint	Oct 5, 2026	Oct 5, 2026	P0
M9 - Pagine secondarie			Backlog	M9, milestone	Oct 5, 2026	Oct 15, 2026
M9 - T1 Dati e tipi delle competenze		imadelmir	Backlog	M9, pages	Oct 5, 2026	Oct 6, 2026	P1
M9 - T2 Componenti delle competenze		imadelmir	Backlog	M9, pages	Oct 6, 2026	Oct 7, 2026	P1
M9 - T3 Pagina Skills		imadelmir	Backlog	M9, pages	Oct 7, 2026	Oct 7, 2026	P1
M9 - T4 Dati di formazione, esperienza e certificati		imadelmir	Backlog	M9, pages	Oct 7, 2026	Oct 8, 2026	P1
M9 - T5 Componenti della timeline		imadelmir	Backlog	M9, pages	Oct 8, 2026	Oct 9, 2026	P1
M9 - T6 Pagina Experience		imadelmir	Backlog	M9, pages	Oct 9, 2026	Oct 12, 2026	P1
M9 - T7 Pagina About		imadelmir	Backlog	M9, pages	Oct 12, 2026	Oct 12, 2026	P1
M9 - T8 Form di contatto con validazione zod		imadelmir	Backlog	M9, pages	Oct 12, 2026	Oct 13, 2026	P1
M9 - T9 Informazioni di contatto e link social		imadelmir	Backlog	M9, pages	Oct 14, 2026	Oct 14, 2026	P1
M9 - T10 API di invio email (Resend) con rate limiting		imadelmir	Backlog	M9, pages	Oct 14, 2026	Oct 15, 2026	P1
M9 - T11 Pagina Contact		imadelmir	Backlog	M9, pages	Oct 15, 2026	Oct 15, 2026	P1
M10 - SEO, qualita e deploy			Backlog	M10, milestone	Oct 15, 2026	Oct 27, 2026
M10 - T1 Builder dei metadata riutilizzabile		imadelmir	Backlog	M10, qa	Oct 15, 2026	Oct 16, 2026	P0
M10 - T2 Sitemap e robots generati dai contenuti		imadelmir	Backlog	M10, qa	Oct 16, 2026	Oct 16, 2026	P0
M10 - T3 Immagini Open Graph generate per progetto		imadelmir	Backlog	M10, qa	Oct 16, 2026	Oct 19, 2026	P1
M10 - T4 Dati strutturati JSON-LD		imadelmir	Backlog	M10, qa	Oct 19, 2026	Oct 20, 2026	P2
M10 - T5 Analytics senza cookie		imadelmir	Backlog	M10, qa	Oct 20, 2026	Oct 20, 2026	P2
M10 - T6 Audit di accessibilita e correzioni		imadelmir	Backlog	M10, qa	Oct 20, 2026	Oct 21, 2026	P0
M10 - T7 Ottimizzazione delle prestazioni		imadelmir	Backlog	M10, qa	Oct 21, 2026	Oct 22, 2026	P0
M10 - T8 Test end-to-end con Playwright		imadelmir	Backlog	M10, qa	Oct 22, 2026	Oct 22, 2026	P1
M10 - T9 Continuous Integration su GitHub Actions		imadelmir	Backlog	M10, qa	Oct 22, 2026	Oct 23, 2026	P0
M10 - T10 Budget Lighthouse sulle pull request		imadelmir	Backlog	M10, qa	Oct 23, 2026	Oct 23, 2026	P2
M10 - T11 Documentazione (architecture, content-guide, design-system)		imadelmir	Backlog	M10, qa	Oct 23, 2026	Oct 26, 2026	P1
M10 - T12 Deploy su Vercel e messa online		imadelmir	Backlog	M10, qa	Oct 26, 2026	Oct 27, 2026	P0
Milestone - GO LIVE: portfolio online			Backlog	checkpoint	Oct 27, 2026	Oct 27, 2026	P0
